Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
target-20-neighbours,500,50,0.46,0.5711666666666667
target-20-neighbours,500,50,0.7,0.6173571428571428
target-20-neighbours,500,50,0.69,0.657357142857143
target-20-neighbours,500,50,0.72,0.7433333333333333
target-20-neighbours,500,50,0.31,0.5416666666666666
target-20-neighbours,500,50,0.71,0.770357142857143
target-20-neighbours,500,50,0.73,0.7283333333333333
target-20-neighbours,500,50,0.6,0.5941666666666666
target-20-neighbours,500,50,0.17,0.4683333333333334
target-20-neighbours,500,50,0.42,0.5763333333333335
target-20-neighbours,500,50,0.47,0.5056666666666667
target-20-neighbours,500,50,0.51,0.4625000000000001
target-20-neighbours,500,50,0.22,0.5266666666666667
target-20-neighbours,500,50,0.6,0.72
target-20-neighbours,500,50,0.5,0.6308333333333334
target-20-neighbours,500,50,0.23,0.4916666666666667
Random_neighbours,500,50,0.7040271428571426,0.765
Random_neighbours,500,50,0.6558666666666667,0.5878333333333333
Random_neighbours,500,50,0.4310933333333333,0.5895
Random_neighbours,500,50,0.7351261904761904,0.7645238095238095
Random_neighbours,500,50,0.647990476190476,0.6135238095238096
Random_neighbours,500,50,0.7952357142857143,0.6806904761904762
Random_neighbours,500,50,0.6115666666666666,0.695
Random_neighbours,500,50,0.3705533333333333,0.5416666666666667
Random_neighbours,500,50,0.7008404761904761,0.6223571428571428
Random_neighbours,500,50,0.7536857142857143,0.7586904761904762
Random_neighbours,500,50,0.4466666666666666,0.49
Random_neighbours,500,50,0.7514880952380953,0.6990238095238095
Random_neighbours,500,50,0.5378666666666666,0.5575
Random_neighbours,500,50,0.4719466666666666,0.4528333333333333
Random_neighbours,500,50,0.7023404761904761,0.5565238095238095
Random_neighbours,500,50,0.6942538095238094,0.7040238095238095
Random_neighbours,500,50,0.7325333333333335,0.6663333333333332
Random_neighbours,500,50,0.7574357142857143,0.7686904761904764
Random_neighbours,500,50,0.6427495238095239,0.6245238095238095
Random_neighbours,500,50,0.8092904761904761,0.795
LimeBased_neighbours,500,50,0.5794254761904761,0.5333333333333333
LimeBased_neighbours,500,50,0.4861211904761905,0.355
LimeBased_neighbours,500,50,0.41202,0.6133333333333333
