Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
target-20-neighbours,1000,50,0.8658333333333335,0.7793285000000001
target-20-neighbours,1000,50,0.3133333333333333,0.8461945
target-20-neighbours,1000,50,0.55,0.7898590000000001
target-20-neighbours,1000,50,0.34375,0.02497205
target-20-neighbours,1000,50,0.8358333333333334,0.6795145
target-20-neighbours,1000,50,0.5133333333333333,0.7085524999999999
target-20-neighbours,1000,50,0.36,0.0
target-20-neighbours,1000,50,0.7516666666666666,0.7879845000000001
target-20-neighbours,1000,50,0.28,0.02497205
target-20-neighbours,1000,50,0.36,0.02497205
target-20-neighbours,1000,50,0.33375,0.02497205
target-20-neighbours,1000,50,0.38,0.02497205
target-20-neighbours,1000,50,0.6605,0.775828
target-20-neighbours,1000,50,0.7241666666666666,0.6348575000000001
target-20-neighbours,1000,50,0.37333333333333335,0.7008099999999999
target-20-neighbours,1000,50,0.5033333333333334,0.6481925
target-20-neighbours,1000,50,0.39,0.02497205
target-20-neighbours,1000,50,0.24041666666666667,0.5652705
Random_neighbours,1000,50,0.34995658300000004,0.02497205
Random_neighbours,1000,50,0.7853955780000001,0.8715655
Random_neighbours,1000,50,0.672643559,0.8770395
Random_neighbours,1000,50,0.4681914380000001,0.02497205
Random_neighbours,1000,50,0.7746464165,0.8538760000000001
Random_neighbours,1000,50,0.6538943975000001,0.8415025
Random_neighbours,1000,50,0.7234721095000001,0.7676625
Random_neighbours,1000,50,0.32563491150000007,0.7176830000000001
Random_neighbours,1000,50,0.7761447395000001,0.7514655
Random_neighbours,1000,50,0.8046464165,0.8715655
Random_neighbours,1000,50,0.2557491615,0.0
Random_neighbours,1000,50,0.3834111585,0.02497205
Random_neighbours,1000,50,0.35975028049999996,0.6636074999999999
Random_neighbours,1000,50,0.7943089835000001,0.65584
Random_neighbours,1000,50,0.7695622446666667,0.838919
Random_neighbours,1000,50,0.7327229479999999,0.6439555
Random_neighbours,1000,50,0.380249721,0.8584705
Random_neighbours,1000,50,0.367137163,0.02497205
Random_neighbours,1000,50,0.17,0.02497205
