PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
0,5.44,2.15,0.74,0.24,1,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.75540571,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,397,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.87284347,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,265,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.83249077,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,133,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.79395431,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,1,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.75539159,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,397,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.87284347,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,265,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.83250579,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,133,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.79336932,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,1,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.75541047,0,0.0981446,0,0,0,0,0,0,0
0,5.408650677,4.189987323,0.6193887536,0.2627350979,541,38.11980667,79.84105482,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39.37003079,11.22286933,0,0.0981446,0,0.9607,0.0353,0.498,0,0,0
0,5.41,4.19,0.62,0.26,540,38,79,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39,11.22282963,0,0.0981446,0,0.9668,0.0007,0.48375,0,0,0
0,5.41,4.19,0.62,0.26,360,38,79,distr,e,u,free,e,u,925.36,181.87,138.53,411.75,39,11.16857777,0,0.0981446,0,0.6042,0.2612,0.4327,0.4552,0.4552,0.4552
0,5.41,4.19,0.62,0.26,180,38,79,distr,e,u,free,e,u,355.76,177.88,138.53,411.75,39,11.11601072,0,0.0981446,0,0,0,0,0,0,0
0,5.41,4.19,0.62,0.26,540,38,79,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39,11.22282963,0,0.0981446,0,0.978,0.0073,0.49265,0,0,0
0,5.41,4.19,0.62,0.26,360,22,79,distr,e,u,free,e,u,1909.3,165.27,138.53,411.75,39,11.16857676,0,0.0981446,0,0.9569,0.0031,0.48,0.2987,0.2987,0.2987
0,5.41,4.19,0.62,0.26,180,38,79,distr,e,u,free,e,u,373.78,183.02,138.53,411.75,39,11.11602763,0,0.0981446,0,0,0,0,0,0,0
0,5.41,4.19,0.62,0.26,540,38,79,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39,11.22282963,0,0.0981446,0,0.9823,0.0043,0.4933,0,0,0
0,5.41,4.19,0.62,0.26,360,38,79,distr,e,u,free,e,u,548.54,194.9,138.53,411.75,39,11.16858303,0,0.0981446,0,0.9504,0.0059,0.47815,0.4448,0.4448,0.4448
0,5.41,4.19,0.62,0.26,180,38,79,distr,e,u,free,e,u,358.94,176.6,138.53,411.75,39,11.1160083,0,0.0981446,0,0.1351,0.1351,0.1351,0,0,0
0,5.175653568,3.302150545,0.7741291051,0.2077138232,428,64.74944434,79.46015426,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83.85787568,11.9281727,0.137973,0.237692,0,0.7893,0.1344,0.46185,0.003,0.003,0.003
0,5.18,3.3,0.77,0.21,427,64,79,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83,11.92814216,0.208874,0.308639,0,0.7572,0.227,0.4921,0.0069,0.0069,0.0069
3,5.18,3.3,0.77,0.21,285,64,79,distr,e,u,free,y,h,489.61,175.89,2886.28,195.34,83,11.88476793,0.491056,0.591033,1,0.3482,0.3139,0.33105,0,0,0
3,5.18,3.3,0.77,0.21,143,64,79,distr,e,u,free,y,h,489.61,175.89,2886.28,195.34,83,11.8433051,0.218743,0.318568,0,0.2916,0.2916,0.2916,0.4988,0.4988,0.4988
3,5.18,3.3,0.77,0.21,1,64,79,distr,e,u,free,y,h,489.61,175.89,2886.28,195.34,83,11.80245882,0,0.0981446,0,0.2828,0.0126,0.1477,0.4693,0.4693,0.4693
0,5.18,3.3,0.77,0.21,427,64,79,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83,11.92814216,0.204953,0.304718,0,0.8049,0.1677,0.4863,0.0164,0.001,0.0087
4,5.18,3.3,0.77,0.21,285,64,79,distr,e,u,free,y,h,1047.2,177.9,2886.28,195.34,83,11.88475178,0.901085,0.999531,1,0.7688,0.0265,0.39765,0,0,0
